,Price,Address,Locality,Sqft,Beds,FullBath,HalfBath,LotSize
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",NIL,NIL,NIL,NIL,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",NIL,4,4,NIL,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901","3,154",5,3,NIL,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901","3,076",4,3,1,"Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901","1,172",3,3,NIL,"Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901","1,932",4,2,NIL,0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901","1,676",4,3,NIL,"Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901","1,344",3,2,NIL,"Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901","1,920",3,2,NIL,"Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901","1,664",3,2,NIL,2.02 Acres
10,"$1,700,000",9339 Sd 26900,"Rocksprings, TX 78880","2,560",NIL,NIL,NIL,
11,"$1,100,000",RR674P13 Hwy 377,"Rocksprings, TX 78880","2,000",NIL,NIL,NIL,
12,"$1,080,000",0 Hwy 41,"Rocksprings, TX 78880",NIL,NIL,NIL,NIL,
13,"$908,350",9339 Sd 26900,"Rocksprings, TX 78880","2,560",NIL,NIL,NIL,
14,"$905,000",CR450 Hwy 377,"Rocksprings, TX 78880",NIL,NIL,NIL,NIL,
15,"$695,000",Cr 240 Cr 240,"Rocksprings, TX 78880","1,398",NIL,NIL,NIL,
16,"$605,000",RR674 Hwy 377,"Rocksprings, TX 78880","1,738",NIL,NIL,NIL,
17,"$559,805",9770a Sd 26900,"Rocksprings, TX 78880","1,080",NIL,NIL,NIL,
18,"$504,000",Lot17 CR 2630,"Rocksprings, TX 78880",NIL,NIL,NIL,NIL,
19,"$410,000","Tr12,16 CR 520","Rocksprings, TX 78880",NIL,NIL,NIL,NIL,
20,"$299,900",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324","2,318",3,2,NIL,
21,"$167,500",32750 S Shangrila Drive,"Black Canyon City, AZ 85324","2,120",3,2,NIL,
22,"$150,000",0000 Black Canyon Highway,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,5 Acres
23,"$129,500",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324","1,220",3,2,NIL,
24,"$129,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324","2,000",4,2,NIL,
25,"$80,000",34263 S Bertha Street,"Black Canyon City, AZ 85324","2,260",5,2,NIL,
26,"$77,900",33160 S Canyon Road,"Black Canyon City, AZ 85324","1,248",3,2,NIL,
27,"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324","1,404",3,2,NIL,
28,"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,0.7 Acres
29,"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,3 Acres
30,"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,
31,"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324","1,056",3,1,NIL,
32,"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",784,2,1,NIL,Under 1/2 Acre
33,"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,2.35 Acres
34,"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,2.05 Acres
35,"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,0.73 Acres
36,"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",NIL,NIL,NIL,NIL,0.31 Acres
